titulo,link,descricao,fonte,data_publicacao,fim_inscricao,situacao,extras
Socioambiental: um cuidado em conjunto que faz toda a diferença,https://petrobras.com.br/sustentabilidade/socioambiental,"© Copyright Petrobras 2025. Todos os direitos reservados. Quando você visita um site, ele pode armazenar ou coletar informações no seu navegador, principalmente na forma de cookies. Essas informações podem ser sobre você, suas preferências ou seu dispositivo e são usadas principalmente para fazer o site funcionar como você espera. As informações normalmente não o identificam diretamente, mas podem oferecer uma experiência na web mais personalizada. Como respeitamos seu direito à privacidade, você pode optar por não permitir alguns tipos de cookies. Clique nos títulos das diferentes categorias para saber mais e alterar nossas configurações padrão. No entanto, o bloqueio de alguns tipos de cookies pode afetar sua experiência no website e os serviços que podemos oferecer. Para mais informações, acesse nossa página de Privacidade e Proteção de Dados Pessoais. Esses cookies são necessários para o funcionamento do site e não podem ser desabilitados em nossos sistemas. Eles geralmente são definidos apenas em resposta a ações que você realiza que constituem uma solicitação de serviços, como definir suas preferências de privacidade, fazer login ou preencher formulários. Você pode configurar seu navegador para bloquear ou avisá-lo sobre esses cookies, mas algumas partes do site não funcionarão. Esses cookies não armazenam nenhuma informação de identificação pessoal. Esses cookies permitem que o site forneça funcionalidade e personalização aprimoradas. Eles podem ser estabelecidos por nós ou terceiros que tenham serviços adicionados em nossas páginas. Se esses cookies não forem permitidos, alguns ou todos esses serviços podem não funcionar corretamente. Esses cookies nos permitem contar visitas e fontes de tráfego para que possamos medir e melhorar o desempenho do nosso site. Eles nos ajudam a saber quais páginas são as mais e menos populares e a ver como os visitantes se movimentam pelo site. Todas as informações coletadas por esses cookies são agregadas e, portanto, anônimas. Se você não permitir esses cookies, não saberemos quando você visitou nosso site.",Petrobras,,,Aberto,"{'anexos': [{'nome': 'Link de exemplo', 'url': 'https://petrobras.com.br/documents/2677942/3356916/Petrobras+-+Socioambiental+-+Educac%CC%A7a%CC%83o.pdf/896b3366-107e-654c-e717-7c040d8b11b5?version=1.0&t=1692727722000&download=true'}, {'nome': 'Link de exemplo', 'url': 'https://petrobras.com.br/documents/2677942/3356916/Petrobras+-+Socioambiental+-+Desenvolvimento+Econo%CC%82mico+Sustenta%CC%81vel.pdf/11f37ec0-7399-1f73-809d-9b5bdff8e6d2?version=1.0&t=1692727724000&download=true'}, {'nome': 'Link de exemplo', 'url': 'https://petrobras.com.br/documents/2677942/3356916/Petrobras+-+Socioambiental+-+Oceano.pdf/773a4cb3-0da5-e7bd-9989-7f6fa7043ff7?version=1.0&t=1692727733000&download=true'}, {'nome': 'Link de exemplo', 'url': 'https://petrobras.com.br/documents/2677942/3356916/Petrobras+-+Socioambiental+-+Florestas.pdf/65e4ba28-c864-4920-0e1b-7cce239c8f51?version=1.0&t=1692727733000&download=true'}, {'nome': 'Acessar o Caderno de Biodiversidade Petrobras', 'url': 'https://petrobras.com.br/documents/2677942/3356916/Caderno+de+Biodiversidade+Petrobras.pdf/1751b1a9-2a42-45a3-6213-9843cc64a72f?version=1.0&t=1692730527000&download=true'}], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Resultado da Seleção Pública 2023.2,https://petrobras.com.br/documents/2677942/2707080/SP+2023.2+-+Resultados.pdf/d9a5891f-c898-c9d1-2a0f-01f6d317ed07?version=1.0&t=1719407696000&download=true,Resultado da Seleção Pública 2023.2,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Inscrições Projetos Não Incentivados,http://investidor.bussolasocial.com.br/petrobras/editais/naoincentivados2023.2,Inscrições Projetos Não Incentivados,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Inscrições Projetos Incentivados,https://investidor.bussolasocial.com.br/petrobras/editais/incentivados2023.2,Inscrições Projetos Incentivados,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Regulamento Seleção Pública 2023.2 - Projetos Nao Incentivados,https://petrobras.com.br/documents/2677942/3356916/Regulamento+Sele%C3%A7%C3%A3o+P%C3%BAblica+2023.2+-+Projetos+Nao+Incentivados.pdf/af45b992-2e9d-b0f1-f40a-f5e0eb9d48d8?version=1.0&t=1699376882000&download=true,Regulamento Seleção Pública 2023.2 - Projetos Nao Incentivados,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Projetos Não Incentivados - Retificação 01,https://petrobras.com.br/documents/2677942/3356916/Retifica%C3%A7%C3%A3o+n+1+-+Regulamento_Sele%C3%A7%C3%A3o+P%C3%BAblica+N%C3%A3o+Incentivados+2023.2+%281%29.pdf/b125cfb4-2c1f-f8a5-d2f2-d36bc2d529a5?version=1.0&t=1703267114000&download=true,Projetos Não Incentivados - Retificação 01,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Projetos Não Incentivados - Retificação 02,https://petrobras.com.br/documents/2677942/7444258/Retifica%C3%A7%C3%A3o+n+2+-+Regulamento_Sele%C3%A7%C3%A3o+P%C3%BAblica+N%C3%A3o+Incentivados+2023.2+%281%29.pdf/90b6fb06-adb2-9f5b-d399-a16a0d395fe3?version=1.0&t=1705336078000&download=true,Projetos Não Incentivados - Retificação 02,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Projetos Não Incentivados - Retificação 03,https://petrobras.com.br/documents/2677942/7444258/Projetos+N%C3%A3o+Incentivados_Retifica%C3%A7%C3%A3o+3.pdf/73d759d9-7ad1-a062-a6ff-cfc8acd5e556?version=1.0&t=1717445336000&download=true,Projetos Não Incentivados - Retificação 03,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Regulamento Seleção Pública 2023.2 - Projetos Incentivados,https://petrobras.com.br/documents/2677942/3356916/Regulamento+Sele%C3%A7%C3%A3o+P%C3%BAblica+2023.2+-+Projetos+Incentivados.pdf/28305898-7221-ad7b-610b-99c32e08b96e?version=1.0&t=1699376898000&download=true,Regulamento Seleção Pública 2023.2 - Projetos Incentivados,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Projetos Socioambientais Incentivados,https://petrobras.com.br/documents/2677942/7444258/Projetos+Incentivados_Retifica%C3%A7%C3%A3o+1.pdf/3ec0fc59-adae-f789-16b3-8ae377ee1aeb?version=1.0&t=1717445334000&download=true,Projetos Socioambientais Incentivados,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Playlist da Seleção Pública Socioambiental 2023,https://www.youtube.com/playlist?list=PLJGZ8X1mZTR9AUvYvlsHWNGDfPUZNiFwU,Playlist da Seleção Pública Socioambiental 2023,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Inscrições Projetos incentivados,http://investidor.bussolasocial.com.br/petrobras/editais/incentivados2023.2,Inscrições Projetos incentivados,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
Regulamento Seleção Pública 2023.1 – Projetos Incentivados,https://petrobras.com.br/documents/2677942/7444258/SP+2023.1+-+Regulamento+Incentivados.pdf/c175c3b8-d4ca-a0f9-85ce-8a75d836a0ac?version=1.0&t=1694195358000&download=true,Regulamento Seleção Pública 2023.1 – Projetos Incentivados,Petrobras,,,Aberto,"{'anexos': [], 'fonte_original': 'https://petrobras.com.br/sustentabilidade/selecoes-publicas', 'data_extracao': '2026-04-15'}"
